state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
North Dakota,2019,15165,21229,130842,110569,68506,107938,40819
North Dakota,2020,13286,21022,129837,110481,70246,109962,42691
North Dakota,2021,13025,20806,131400,110748,71266,112023,44629
Ohio,2012,254219,656111,2694883,1609204,593037,1207216,701223
Ohio,2013,250934,640684,2688165,1610416,607861,1227819,720641
Ohio,2014,245251,624538,2682032,1607698,627729,1252463,741400
Ohio,2015,241071,608526,2669316,1615405,643162,1278763,761265
Ohio,2016,232970,592185,2654140,1616966,658910,1310995,781880
Ohio,2017,228438,577205,2646608,1614614,672658,1341204,807423
Ohio,2018,223320,562840,2639478,1624247,681630,1370810,834760
Ohio,2019,221376,546002,2634997,1626965,691111,1401609,853717
Ohio,2020,217670,521100,2629870,1628291,702496,1438177,877362
Ohio,2021,215624,500127,2636855,1613278,713240,1483021,915308
Oklahoma,2012,114624,222264,773447,593033,168453,379676,186824
Oklahoma,2013,113560,221671,782753,595862,171995,387885,190572
Oklahoma,2014,111451,219751,789276,597883,177796,396647,196219
Oklahoma,2015,111132,217069,796141,599686,182135,405388,200841
Oklahoma,2016,108690,214200,801598,601712,187963,413818,206297
Oklahoma,2017,107434,211219,803755,602859,193857,422888,211476
Oklahoma,2018,105753,208035,806407,606833,198903,428829,219241
Oklahoma,2019,104449,206004,812102,604637,203387,436601,224908
Oklahoma,2020,101338,197694,812618,602288,214840,448366,234536
Oklahoma,2021,99948,193425,803726,595930,214570,457256,242886
Oregon,2012,105988,177314,647185,704792,212854,483035,280876
Oregon,2013,106768,173756,650310,711019,216675,494922,290383
Oregon,2014,108541,173081,657123,713309,220247,505798,299277
Oregon,2015,108225,169072,659119,714607,228892,522634,312423
Oregon,2016,106505,169993,657520,721059,234336,538977,327396
Oregon,2017,106711,166982,655921,723165,242247,561492,341435
Oregon,2018,105456,168726,656365,732477,249852,583144,354673
Oregon,2019,102714,166536,659085,737003,257692,603359,372561
Oregon,2020,101405,159380,667341,737552,266108,627360,385684
Oregon,2021,97909,154693,668083,739245,270372,644813,396281
Pennsylvania,2012,329573,684247,3222376,1431692,649107,1439079,902798
Pennsylvania,2013,321228,666587,3227985,1435690,661608,1468125,931539
Pennsylvania,2014,315745,651043,3221188,1436713,677250,1502205,960596
