GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",130.226,132.457,128.834,129.049,128.066,127.805,130.566,128.709,125.515,121.186,122.023,118.014,122.997,120.894
 "10000","Delaware",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",92.974,103.342,100.504,101.262,98.669,101.292,106.245,100.154,97.122,94.698,99.298,96.059,91.990,97.142
 "11000","District of Columbia",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",160.610,165.057,182.761,174.216,177.863,180.744,189.321,176.901,166.921,176.572,176.841,170.251,165.201,175.396
 "12000","Florida",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",116.130,113.021,110.087,110.035,109.666,109.208,109.481,110.379,110.776,110.502,110.752,112.083,113.620,113.064
 "13000","Georgia",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",82.788,82.276,81.122,80.365,80.653,79.991,79.080,80.738,81.929,81.767,81.844,81.901,83.162,85.469
 "15000","Hawaii",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",163.241,156.689,157.573,154.783,154.069,159.183,157.250,160.865,155.176,149.662,143.002,142.487,136.250,140.838
 "16000","Idaho",7,SARPP,3,"..."," RPPs: Services: Housing ","Index",79.990,79.655,75.836,75.987,75.695,76.810,78.682,75.409,74.413,74.163,77.535,75.714,76.261,84.161
 "17000","Illinois",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",101.969,104.355,104.543,103.727,102.799,103.197,102.885,103.047,101.220,99.983,99.175,97.721,97.714,96.220
 "18000","Indiana",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",76.506,75.431,77.573,77.716,75.059,75.423,75.211,74.382,73.639,72.854,73.100,71.924,70.987,71.399
 "19000","Iowa",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",69.314,69.723,71.849,73.108,72.563,73.644,74.090,69.767,72.822,72.788,71.352,69.573,67.257,66.258
 "20000","Kansas",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",74.707,74.707,75.779,76.763,75.581,76.211,74.287,75.213,73.822,73.217,72.327,71.907,72.076,69.841
 "21000","Kentucky",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",63.094,63.498,64.878,65.343,65.531,66.739,64.996,65.172,62.747,63.730,64.738,64.316,64.769,63.361
 "22000","Louisiana",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",70.553,74.081,74.164,73.782,75.186,74.619,74.401,73.784,73.810,71.010,69.212,70.803,68.119,66.854
 "23000","Maine",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",90.700,87.617,84.743,91.098,90.499,88.220,79.902,83.557,78.976,79.178,83.875,71.513,81.052,81.191
 "24000","Maryland",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",131.827,132.297,131.576,134.900,131.841,134.809,133.813,129.755,127.202,127.719,128.323,128.316,128.222,124.219
 "25000","Massachusetts",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",130.671,131.263,132.234,131.930,130.410,129.873,132.261,130.974,131.471,130.568,128.671,130.109,134.856,129.021
 "26000","Michigan",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",86.406,84.847,84.967,83.339,82.337,82.290,83.221,81.786,82.733,81.044,80.734,82.002,80.675,80.702
 "27000","Minnesota",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",94.635,95.242,94.914,93.688,96.247,96.508,94.623,95.167,95.637,95.480,95.523,97.562,90.809,93.148
 "28000","Mississippi",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",59.225,58.119,59.917,60.541,59.403,60.128,59.421,59.159,59.556,59.062,56.703,55.417,55.271,56.165
 "29000","Missouri",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",74.346,72.915,74.531,74.217,73.931,75.473,74.199,74.047,73.163,70.643,70.383,70.962,70.258,70.058
 "30000","Montana",7,SARPP,3,"..."," RPPs: Services: Housing ","Index",75.995,73.418,72.216,78.646,75.161,76.543,80.239,80.621,75.423,70.549,76.552,79.530,75.423,79.251
 "31000","Nebraska",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",75.036,74.507,76.817,78.268,76.641,75.662,75.225,77.339,75.335,72.560,73.259,72.828,76.446,75.691
 "32000","Nevada",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",118.997,112.898,108.316,105.216,103.586,100.743,98.131,98.806,97.270,100.137,102.541,105.616,105.822,107.865
 "33000","New Hampshire",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",125.492,119.172,121.995,118.540,121.735,121.998,117.891,116.526,115.159,119.737,108.591,110.790,115.766,107.121
 "34000","New Jersey",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",150.187,150.684,148.579,147.572,150.751,146.798,146.221,145.898,145.279,140.480,141.353,141.127,139.465,135.059
 "35000","New Mexico",6,SARPP,3,"..."," RPPs: Services: Housing ","Index",78.170,78.812,78.764,82.674,82.172,80.781,80.534,75.839,77.559,77.870,75.159,73.989,75.291,73.038
 "36000","New York",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",135.159,136.728,137.398,139.365,139.502,138.120,139.877,137.735,137.529,131.064,130.145,129.285,132.407,131.592
 "37000","North Carolina",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",75.423,75.971,75.964,76.779,76.205,77.229,77.198,76.068,75.748,75.513,75.332,75.473,75.054,76.024
 "38000","North Dakota",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",67.227,71.337,72.026,72.791,85.478,82.172,81.256,85.719,84.262,71.527,72.146,77.042,71.952,71.099
 "39000","Ohio",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",76.758,75.853,76.898,75.726,76.507,76.884,75.036,74.892,74.989,74.970,74.246,73.485,73.287,72.767
 "40000","Oklahoma",6,SARPP,3,"..."," RPPs: Services: Housing ","Index",63.068,65.632,66.314,66.809,67.042,67.819,68.239,66.662,65.863,66.085,65.969,64.152,63.491,63.955
 "41000","Oregon",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",96.738,100.073,99.346,99.332,99.735,99.605,99.833,102.207,105.309,110.219,111.018,110.252,110.126,109.350
 "42000","Pennsylvania",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",89.128,88.886,91.602,91.634,91.402,91.742,90.657,90.889,89.447,87.922,87.741,86.555,86.898,86.739
 "44000","Rhode Island",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",112.524,115.484,113.199,115.482,108.398,110.566,112.323,109.637,107.842,106.689,110.031,108.662,102.853,109.054
